,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
0,NV,27.82118325,78.55417,0.65,28.8,88.0,65.0,No Change,6.0,18.0
1,AC,24.87424925,66.87863,0.02,25.55,90.0,64.0,No Change,43.0,2.0
2,AC,24.52256165,66.73265075,0.09,25.1,87.0,64.0,No Change,20.0,2.0
3,AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,More,52.0,3.0
4,NV,27.46960355,76.7434977,0.31,28.45,88.0,60.0,No Change,52.0,19.0
5,AC,25.03423025,62.0025569,0.41,25.85,89.0,62.0,No Change,27.0,3.0
6,NV,27.73088355,78.3376924,0.26,28.55,87.0,66.0,No Change,6.0,19.0
7,NV,29.0374832,75.75785,0.51,29.85,90.0,58.40393321,More,39.0,19.0
8,AC,25.5416238,75.004025,1.11,26.0,89.0,59.61059947,No Change,41.0,4.0
9,AC,25.06855485,71.67338215000001,0.11,26.3,92.0,56.0,No Change,33.0,1.0
10,AC,25.75917055,75.22926000000001,0.25,26.6,90.0,61.05437018,No Change,57.0,2.0
11,AC,25.4633837,67.5986099,0.38,25.700000000000003,91.0,55.0,Less,28.0,4.0
12,NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,19.0,19.0
13,NV,29.736228,71.6406024,0.21,30.4,92.0,54.0,More,56.0,17.0
14,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,More,57.0,16.0
15,AC,25.5028107,73.72965500000001,0.54,26.0,89.0,60.0,No Change,37.0,3.0
16,AC,25.534716600000003,76.0189478,0.07,26.55,92.0,56.0,More,32.0,2.0
17,NV,25.76368235,66.97658229999999,0.04,26.6,82.0,76.0,No Change,6.0,16.0
18,AC,25.06077385,64.436025,0.49,25.3,89.0,61.7109739,Less,11.0,4.0
19,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,More,42.0,18.0
20,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,More,8.0,1.0
21,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,More,4.0,16.0
22,NV,28.84089085,76.13239215,0.03,29.9,92.0,56.0,No Change,36.0,17.0
23,NV,28.1659335,78.43466225,0.34,29.05,91.0,58.0,No Change,33.0,16.0
24,NV,27.76193445,78.514075,0.25,28.7,87.0,65.0,No Change,4.0,18.0
25,NV,28.62825655,66.685905,0.39,29.35,93.27738537,46.27738537,No Change,43.0,18.0
26,AC,28.0483072,75.18605,1.06,28.9,91.0,55.0,No Change,15.0,4.0
27,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,No Change,11.0,1.0
28,AC,25.31502245,74.973465,0.12,25.85,92.0,59.0,No Change,43.0,3.0
29,NV,25.49842095,71.5555226,0.32,26.5,89.0,62.0,No Change,23.0,18.0
30,AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,No Change,1.0,4.0
31,NV,29.43789265,73.90515500000001,0.08,30.25,91.0,58.0,More,18.0,17.0
32,AC,24.01170645,65.390785,0.05,25.15,87.0,66.0,More,24.0,2.0
33,NV,27.76193445,78.514075,0.25,28.7,87.0,65.0,No Change,3.0,18.0
34,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,No Change,16.0,18.0
35,NV,28.3556118,66.87423795000001,0.2,29.0,94.0,46.0,No Change,48.0,19.0
36,NV,29.80188655,70.9149377,0.77,30.45,92.0,54.0,No Change,60.0,18.0
37,NV,29.401518000000003,73.42459,0.04,30.3,92.0,55.0,More,59.0,16.0
38,AC,26.0289812,73.44053255,0.88,26.75,91.0,57.0,Less,58.0,4.0
39,AC,25.6745028,71.833585,0.68,26.15,89.0,61.0,No Change,38.0,4.0
40,AC,25.4374294,69.43149,0.37,25.95,87.0,64.0,Less,19.0,4.0
41,AC,25.00824545,61.378465000000006,0.09,26.15,90.0,54.0,No Change,50.0,1.0
42,NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,No Change,28.0,19.0
43,AC,25.23486425,69.1292,0.03,25.9,89.0,63.0,More,45.0,2.0
44,AC,25.217021,62.9532509,0.23,26.05,83.0,73.0,No Change,4.0,4.0
45,AC,25.0224695,62.74987635,0.81,25.0,89.0,62.0,Less,12.0,4.0
46,NV,27.29382705,75.76189,0.58,28.1,87.0,61.0,No Change,51.0,18.0
47,AC,25.6745028,71.833585,0.68,26.15,89.0,61.0,No Change,37.0,4.0
48,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,More,17.0,18.0
