Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
AC,24.8110323,70.94870755,0.15,26.45,89.0,60.0,More,7.0,2.0
NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,No Change,7.0,19.0
AC,25.77627795,82.95664500000001,0.2,26.450000000000003,94.46253801,51.0,Less,35.0,4.0
NV,26.7251539,74.8342,0.77,27.65,90.0,63.0,Less,35.0,18.0
AC,25.4852362,72.59637000000001,0.6,26.05,89.0,52.0,No Change,49.0,4.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,More,49.0,16.0
NV,25.36351205,69.883087,0.1,25.950000000000003,93.0,52.0,No Change,45.0,16.0
AC,24.6089378,72.25677300000001,0.05,26.0,93.0,53.0,No Change,45.0,2.0
AC,25.3176384,74.67751000000001,0.31,25.85,92.0,59.0,No Change,46.0,3.0
NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,No Change,46.0,18.0
AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,More,52.0,3.0
NV,27.14934825,75.17565,0.48,28.05,87.0,62.0,No Change,52.0,18.0
AC,26.4143038,63.468410000000006,0.73,27.05,91.0,55.0,No Change,16.0,4.0
NV,28.799171450000003,76.13997735,1.62,29.65,91.0,59.0,No Change,16.0,19.0
AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,More,25.0,3.0
NV,28.15433505,73.94722775,0.44,28.85,90.0,57.0,No Change,25.0,19.0
NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,More,3.0,16.0
AC,25.217021,62.9532509,0.23,26.05,83.0,73.0,Less,3.0,4.0
NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,Less,58.0,19.0
AC,25.75917055,75.22926000000001,0.25,26.6,90.0,61.05437018,More,58.0,2.0
AC,25.7223743,67.601495,0.44,26.1,90.0,55.14502996,No Change,14.0,4.0
NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,More,14.0,18.0
AC,25.5058241,65.31376,0.37,26.3,89.0,58.0,No Change,53.0,3.0
NV,27.40682605,76.748495,1.02,28.3,88.0,61.82525061,No Change,53.0,19.0
NV,27.5136958,80.61175,0.62,28.6,88.0,63.28254111,More,8.0,18.0
AC,25.0099273,60.2925516,0.84,25.5,88.0,62.0,More,8.0,4.0
AC,25.99755285,75.6160202,0.42,26.45,87.0,64.0,More,56.0,4.0
NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,No Change,56.0,19.0
AC,25.5679827,65.013785,0.45,26.4,89.0,58.0,No Change,50.0,3.0
NV,27.3503275,76.503075,0.72,28.25,87.0,62.0,No Change,50.0,18.0
AC,26.3991413,67.9146473,0.55,27.05,90.0,59.0,No Change,41.0,4.0
NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,More,41.0,18.0
AC,25.03423025,62.0025569,0.41,25.85,89.0,62.0,No Change,27.0,3.0
NV,26.939456,77.06971,0.83,27.95,90.0,58.0,No Change,27.0,18.0
