,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Air Movement Preference,User Id,Condition
0,NV,28.3574657,78.53474715,0.03,29.35,91.0,58.0,More,35.0,17.0
1,NV,29.2708254,75.33709999999999,0.41,30.05,91.0,58.0,No Change,38.0,19.0
2,AC,26.22435675,78.84082000000001,0.53,27.35,83.0,73.0,No Change,4.0,2.0
3,NV,28.1659335,78.43466225,0.34,29.05,91.0,58.0,No Change,33.0,16.0
4,NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,More,39.0,17.0
5,NV,28.91536045,77.2558899,0.07,29.65,90.0,62.0,More,24.0,16.0
6,AC,24.70157335,65.082545,0.09,25.65,89.0,61.0,More,8.0,1.0
7,NV,29.05609705,76.14667510000001,0.05,29.9,94.0,54.0,More,37.0,16.0
8,NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,More,5.0,19.0
9,AC,25.441961300000003,77.48910795,0.07,26.1,89.0,62.94420483,More,59.0,2.0
10,AC,25.8863735,72.66152,0.03,26.9,91.0,57.0,More,60.0,2.0
11,NV,28.3461914,73.937405,0.54,29.3,92.0,55.0,No Change,59.0,19.0
12,NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,More,58.0,18.0
13,NV,27.3859022,80.6769827,1.14,28.55,88.0,62.29389493,More,8.0,18.0
14,AC,24.78502655,69.41615999999999,0.17,26.4,90.0,60.0,No Change,37.0,2.0
15,NV,26.52745625,74.61818790000001,0.28,27.55,91.0,57.0,No Change,25.0,18.0
16,AC,23.89018825,65.62138999999999,0.06,25.25,90.0,62.0,More,42.0,2.0
17,NV,27.14934825,75.17565,0.48,28.05,87.0,62.0,No Change,52.0,18.0
18,NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,No Change,1.0,19.0
19,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,More,14.0,18.0
20,AC,25.37465,67.46411515,0.02,26.65,89.0,61.0,More,9.0,2.0
21,AC,24.9786463,68.46871,0.07,25.950000000000003,86.0,64.0,More,23.0,2.0
22,NV,26.755024,75.47792000000001,0.1,27.9,87.0,62.0,More,49.0,16.0
23,NV,25.76368235,66.97658229999999,0.04,26.6,82.0,76.0,No Change,2.0,16.0
24,NV,29.476764,74.0503044,0.18,30.1,92.0,56.0,More,34.0,19.0
25,AC,25.269263950000003,70.51651765,0.1,26.4,83.0,73.0,More,6.0,1.0
26,AC,25.3814669,67.28068999999999,0.29,25.75,91.0,56.0,More,30.0,3.0
27,AC,25.706242,67.161445,0.1,26.15,91.0,57.0,No Change,18.0,1.0
28,AC,25.4269428,61.8769284,0.08,25.8,91.0,56.0,More,15.0,2.0
29,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Less,60.0,19.0
30,AC,25.24077895,71.06231,0.07,26.4,83.0,73.0,No Change,2.0,1.0
31,AC,25.2760258,76.474795,0.03,26.15,93.0,58.0,More,35.0,2.0
32,NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,More,54.0,17.0
33,AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,No Change,54.0,2.0
34,AC,24.010643,64.5948023,0.13,24.8,89.0,64.0,No Change,48.0,2.0
35,AC,25.6632469,76.27038,0.44,26.25,90.0,58.0,No Change,55.0,3.0
36,NV,27.96590995,72.66002499999999,0.21,28.95,88.0,57.0,Less,53.0,17.0
37,NV,28.635826,66.800905,0.36,29.4,93.0,47.0,Less,45.0,18.0
38,NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,No Change,46.0,18.0
39,AC,25.5200795,61.2473545,0.08,25.75,91.0,56.0,No Change,17.0,2.0
40,AC,24.77680445,68.98632,0.13,25.8,91.0,55.0,No Change,26.0,2.0
41,AC,25.17013435,72.73873499999999,0.18,26.450000000000003,92.0,56.0,No Change,36.0,2.0
42,AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,More,5.0,4.0
43,NV,28.86610715,75.04375289999999,0.3,29.85,90.0,59.0,More,15.0,17.0
44,NV,27.72992225,77.1736231,0.08,28.6,90.0,58.0,More,28.0,16.0
45,AC,25.5196123,75.53583725,0.87,26.0,89.0,59.0,No Change,39.0,4.0
46,AC,24.831316,72.60397735,0.17,25.950000000000003,92.0,56.0,More,25.0,2.0
47,AC,24.42423815,72.63083,0.04,25.4,87.0,67.0,More,19.0,1.0
48,NV,29.1448517,74.22372195,0.1,29.9,90.0,59.0,No Change,16.0,16.0
49,AC,25.51420405,75.206395,0.17,26.05,89.0,59.0,More,38.0,3.0
50,AC,25.88930225,68.0987621,0.47,26.5,89.0,54.14254275,No Change,53.0,3.0
51,NV,29.70415215,71.47286,0.41,30.35,92.0,54.0,No Change,55.0,18.0
52,AC,24.6059084,61.2483838,0.12,25.75,90.0,55.0,No Change,50.0,1.0
53,NV,28.8235407,75.06594000000001,0.09,29.65,90.0,57.0,More,18.0,16.0
54,NV,27.70735,77.43589205,1.12,28.55,87.0,66.0,No Change,4.0,19.0
55,AC,25.3183527,74.67086705,1.1,25.8,91.0,58.0,No Change,47.0,4.0
56,AC,24.6161051,72.3999378,0.03,25.35,87.0,65.0592637,No Change,20.0,1.0
57,NV,29.02581735,75.77595500000001,0.7,29.85,90.0,59.0,More,40.0,19.0
58,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,More,22.0,16.0
59,AC,27.2626438,82.0086,0.22,28.25,88.0,63.0,No Change,10.0,4.0
60,AC,25.15229895,71.98132000000001,0.09,26.5,92.0,56.0,More,3.0,2.0
61,AC,25.89085005,64.568505,0.15,26.950000000000003,89.0,55.0,More,51.0,2.0
62,NV,29.344909450000003,75.87390255,0.71,30.200000000000003,91.0,58.0,No Change,41.0,18.0
63,AC,24.68672655,64.7097428,0.03,25.5,87.0,64.0,More,22.0,2.0
64,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,More,50.0,16.0
65,NV,28.741795,68.9538,0.52,29.6,93.0,49.0,Less,47.0,17.0
66,NV,29.43789265,73.90515500000001,0.08,30.25,91.0,58.0,More,17.0,17.0
67,NV,29.80188655,70.9149377,0.77,30.45,92.0,54.0,More,56.0,18.0
68,NV,28.7493633,68.83581000000001,0.48,29.65,93.0,49.0,No Change,48.0,17.0
69,AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,52.0,4.0
70,NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,No Change,10.0,17.0
71,AC,25.12643815,67.32656785,0.47,26.1,89.0,61.0,No Change,7.0,4.0
72,NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,More,42.0,17.0
73,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,More,12.0,16.0
74,AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,No Change,41.0,3.0
75,NV,29.8114805,71.02696499999999,0.15,30.5,92.0,54.0,No Change,57.0,17.0
76,NV,28.13394355,74.02672999999999,0.06,29.05,90.0,56.0,More,30.0,17.0
77,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,No Change,6.0,16.0
78,AC,25.99755285,75.6160202,0.42,26.45,87.0,64.0,No Change,58.0,4.0
