,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
0,AC,25.57848805,69.79694,0.22,26.05,89.0,53.0,Acceptable,50.0,3.0
1,AC,25.81166355,72.13758,0.04,26.950000000000003,83.0,73.0,Acceptable,6.0,2.0
2,NV,28.4141456,79.98768,0.05,29.5,89.0,64.0,Unacceptable,7.0,16.0
3,NV,28.70394835,68.168415,0.25,29.4,93.0,48.0,Acceptable,43.0,17.0
4,AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,Acceptable,3.0,1.0
5,NV,29.4353905,73.395545,0.06,30.35,92.0,55.0,Unacceptable,55.0,16.0
6,NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,Acceptable,37.0,17.0
7,NV,28.5629034,77.64685,0.12,29.700000000000003,91.0,58.0,Acceptable,33.0,17.0
8,AC,25.2204294,69.73222255,0.17,26.35,89.0,61.0,Unacceptable,9.0,1.0
9,NV,27.5875864,79.860165,0.23,28.7,91.0,59.0,Unacceptable,19.0,17.0
10,AC,24.8110323,70.94870755,0.15,26.45,89.0,60.0,Acceptable,11.0,2.0
11,AC,24.87101935,68.94964,0.2,26.0,83.0,73.0,Acceptable,6.0,1.0
12,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Unacceptable,20.0,16.0
13,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,Acceptable,17.0,18.0
14,NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,Acceptable,45.0,18.0
15,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Unacceptable,24.0,16.0
16,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Unacceptable,53.0,16.0
17,NV,27.28127195,75.60906,0.44,28.1,87.0,61.0,Acceptable,49.0,18.0
18,NV,27.5875864,79.860165,0.23,28.7,91.0,59.0,Acceptable,24.0,17.0
19,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,Acceptable,56.0,1.0
20,AC,26.1032356,70.59358,0.6,26.35,90.0,55.0,Acceptable,15.0,4.0
21,NV,25.5737448,72.50533,0.27,26.6,89.0,61.94915638,Acceptable,24.0,18.0
22,NV,27.57049275,80.61006545000001,0.44,28.700000000000003,88.0,64.0,Acceptable,11.0,18.0
23,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,Acceptable,11.0,19.0
24,AC,24.6161051,72.3999378,0.03,25.35,87.0,65.0592637,Acceptable,23.0,1.0
25,AC,25.82515905,70.769335,0.16,27.0,89.0,55.0,Acceptable,49.0,2.0
26,AC,25.6745028,71.833585,0.68,26.15,89.0,61.0,Acceptable,41.0,4.0
27,NV,27.9159422,73.092015,0.18,28.85,88.0,57.0,Acceptable,49.0,17.0
28,AC,25.68664,65.914108,0.35,26.15,89.0,53.0,Acceptable,51.0,3.0
29,NV,27.5495987,71.271965,0.38,28.45,92.0,55.0,Acceptable,59.0,19.0
30,AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,Acceptable,50.0,2.0
31,NV,28.97388325,75.5851074,0.36,29.65,89.0,59.0,Acceptable,14.0,19.0
32,NV,27.46960355,76.7434977,0.31,28.45,88.0,60.0,Acceptable,49.0,19.0
33,AC,24.8630124,66.83332275000001,0.14,26.3,90.0,61.0,Acceptable,42.0,2.0
34,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Acceptable,50.0,16.0
35,AC,25.12812575,67.5145474,0.74,25.65,94.46608805,53.0,Acceptable,33.0,4.0
36,AC,27.60513115,79.99469500000001,0.38,28.25,93.0,55.0,Acceptable,34.0,3.0
37,NV,29.02581735,75.77595500000001,0.7,29.85,90.0,59.0,Acceptable,42.0,19.0
38,NV,29.10197295,73.975365,0.11,30.1,92.0,56.0,Unacceptable,59.0,16.0
39,NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,Unacceptable,42.0,17.0
40,AC,23.8697424,65.0686214,0.04,25.25,90.0,62.0,Acceptable,39.0,1.0
41,NV,27.5314093,75.8627979,0.15,28.4,86.0,67.0,Acceptable,1.0,17.0
42,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,Acceptable,27.0,1.0
43,NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,Acceptable,37.0,19.0
44,AC,24.50745225,63.892345,0.03,25.6,92.0,54.03616543,Acceptable,60.0,1.0
45,NV,27.6698885,80.306255,0.83,28.75,88.0,63.28844468,Acceptable,7.0,18.0
46,NV,27.4256592,76.77550274999999,1.01,28.35,88.0,62.0,Acceptable,52.0,19.0
47,NV,28.199626,80.49376000000001,0.05,29.3,88.0,65.69895856,Unacceptable,12.0,16.0
48,NV,27.5314093,75.8627979,0.15,28.4,86.0,67.0,Acceptable,2.0,17.0
49,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Acceptable,3.0,16.0
50,AC,26.4589215,67.20384,0.73,26.9,91.0,56.0,Acceptable,16.0,4.0
51,AC,25.6627033,72.98564999999999,0.03,26.55,91.0,58.04668938,Acceptable,58.0,2.0
52,AC,25.12966155,67.89088000000001,0.35,25.65,95.0,53.0,Acceptable,32.0,4.0
53,NV,28.5421238,77.79976500000001,0.03,29.65,91.0,58.0,Acceptable,35.0,17.0
54,NV,25.61384205,65.68623,0.67,25.950000000000003,90.0,62.0,Acceptable,33.0,18.0
55,AC,24.6073215,61.33249475,0.17,25.75,90.0,55.0,Unacceptable,52.0,1.0
56,AC,25.03749245,75.901905,0.09,25.9,91.0,58.0,Unacceptable,25.0,1.0
57,AC,25.65818115,76.202395,0.33,26.2,90.0,58.0,Acceptable,56.0,3.0
58,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Unacceptable,45.0,16.0
59,NV,27.70735,77.43589205,1.12,28.55,87.0,66.0,Acceptable,4.0,19.0
60,AC,25.5679827,65.013785,0.45,26.4,89.0,58.0,Acceptable,53.0,3.0
61,AC,25.81166355,72.13758,0.04,26.950000000000003,83.0,73.0,Unacceptable,2.0,2.0
62,AC,25.25968695,65.64346795,0.03,26.0,90.0,61.07691803,Unacceptable,30.0,2.0
63,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Unacceptable,19.0,16.0
64,AC,25.57991885,66.15097895,0.09,26.15,91.0,57.0,Acceptable,17.0,1.0
65,AC,26.4143038,63.468410000000006,0.73,27.05,91.0,55.0,Acceptable,18.0,4.0
66,NV,29.003220650000003,76.104175,0.04,29.85,94.0,54.0,Unacceptable,40.0,16.0
67,NV,28.2296936,79.77403000000001,0.54,29.1,90.95917264,60.0,Unacceptable,20.0,19.0
68,AC,25.1756868,69.494475,0.15,26.3,89.0,61.0,Unacceptable,8.0,2.0
69,NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Acceptable,54.0,16.0
