Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
AC,26.7131529,75.22815700000001,0.27,27.25,93.0,54.54611805,Acceptable,33.0,3.0
NV,27.9054041,78.54395740000001,0.38,28.9,91.0,58.0,Acceptable,33.0,16.0
AC,25.05919145,71.16364999999999,0.21,26.05,91.0,57.0,Acceptable,31.0,1.0
NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,Unacceptable,31.0,19.0
NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Acceptable,53.0,17.0
AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,Acceptable,53.0,3.0
AC,25.51420405,75.206395,0.17,26.05,89.0,59.0,Acceptable,39.0,3.0
NV,29.71229365,76.92506,0.59,30.35,93.0,57.0,Acceptable,39.0,18.0
AC,25.674645,75.8780078,0.22,26.2,90.0,59.0,Acceptable,59.0,3.0
NV,28.70465705,74.40958499999999,0.12,29.65,92.0,55.0,Unacceptable,59.0,16.0
NV,28.30006695,78.896755,0.03,29.3,91.0,59.0,Acceptable,22.0,16.0
AC,24.5155618,66.44586285,0.12,25.0,87.93869336,64.0,Acceptable,22.0,2.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Acceptable,52.0,16.0
AC,25.80401335,63.9229383,0.04,26.85,89.0,58.0,Acceptable,52.0,2.0
AC,25.36683465,68.528445,0.67,25.7,91.0,60.0,Acceptable,47.0,4.0
NV,28.1810989,67.2262777,0.09,28.8,93.0,46.0,Acceptable,47.0,19.0
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,Unacceptable,51.0,2.0
NV,27.2373285,75.074165,0.54,28.05,87.0,61.0,Acceptable,51.0,18.0
NV,27.28426425,77.54482999999999,0.08,28.1,90.0,57.89679308,Acceptable,28.0,16.0
AC,25.6104712,60.81998,0.15,26.05,89.0,63.0,Acceptable,28.0,3.0
AC,28.02454665,70.03412209999999,0.45,29.3,90.0,59.0,Acceptable,38.0,4.0
