,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Acceptability,User Id,Condition
0,NV,27.8754944,78.7121529,1.0,28.8,88.0,65.0,Acceptable,4.0,18.0
1,AC,26.0289812,73.44053255,0.88,26.75,91.0,57.0,Acceptable,58.0,4.0
2,AC,24.04735375,57.53918265,0.08,25.15,83.0,73.0,Acceptable,5.0,2.0
3,NV,29.07201785,73.97003555,0.06,30.05,92.0,56.0,Unacceptable,55.0,16.0
4,AC,25.58443,72.9034225,0.61,26.3,89.0,52.86264799,Acceptable,51.0,4.0
5,AC,25.3101883,68.550695,0.73,25.950000000000003,88.0,63.94702991,Unacceptable,19.0,4.0
6,NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,Acceptable,58.0,19.0
7,NV,27.5804081,79.19251285,0.26,28.5,91.0,61.0,Acceptable,32.0,18.0
8,NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,Acceptable,27.0,19.0
9,AC,24.7277887,69.61462,0.08,26.4,90.0,60.0,Acceptable,41.0,2.0
10,AC,25.4633837,67.5986099,0.38,25.700000000000003,91.0,55.0,Acceptable,29.0,4.0
11,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,Unacceptable,15.0,18.0
12,NV,29.59664415,71.77473,0.76,30.35,92.0,53.0,Acceptable,60.0,18.0
13,NV,29.06328105,75.38085000000001,0.47,29.95,92.0,56.0,Acceptable,36.0,19.0
14,NV,28.8006992,74.818985,0.13,29.6,94.0,55.0,Unacceptable,38.0,17.0
15,AC,24.6059084,61.2483838,0.12,25.75,90.0,55.0,Acceptable,54.0,1.0
16,AC,25.14501855,71.93512,0.66,25.75,94.0,53.0,Acceptable,31.0,4.0
17,NV,27.89164355,80.28480775,0.26,28.75,87.0,67.0,Acceptable,9.0,17.0
18,AC,25.13423825,64.56283,0.67,25.700000000000003,90.0,60.0,Acceptable,30.0,3.0
