,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
0,NV,28.2101202,78.130925,0.37,29.15,91.0,58.0,Cooler,19.0,17.0
1,AC,25.441961300000003,77.48910795,0.07,26.1,89.0,62.94420483,Cooler,55.0,2.0
2,NV,28.3860197,74.00213,0.85,29.3,92.0,55.0,Cooler,58.0,19.0
3,NV,29.16582205,75.45753500000001,0.95,30.0,91.0,58.0,No Change,37.0,19.0
4,AC,25.4909477,73.399675,0.35,25.9,88.0,61.38445218,No Change,42.0,3.0
5,AC,26.07436085,60.6611691,0.09,26.95,90.0,56.0,Cooler,17.0,2.0
6,NV,29.15743545,74.25272,0.07,29.9,90.0,59.0,Cooler,17.0,16.0
7,NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,No Change,22.0,18.0
8,AC,25.36683465,68.528445,0.67,25.7,91.0,60.0,No Change,47.0,4.0
9,NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Cooler,54.0,17.0
10,NV,28.4141456,79.98768,0.05,29.5,89.0,64.0,No Change,11.0,16.0
11,AC,25.14348315,71.3987877,0.73,25.75,94.0,53.0,No Change,33.0,4.0
12,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,No Change,26.0,1.0
13,AC,26.02596,67.20779,0.56,26.450000000000003,90.0,60.0,No Change,39.0,4.0
14,NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,No Change,32.0,16.0
15,NV,25.36351205,69.883087,0.1,25.950000000000003,93.0,52.0,No Change,45.0,16.0
16,NV,28.48635865,66.327095,0.85,29.25,93.0,46.0,Cooler,45.0,18.0
17,NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,No Change,37.0,18.0
18,AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,No Change,1.0,4.0
19,NV,28.91536045,77.2558899,0.07,29.65,90.0,62.0,Cooler,24.0,16.0
20,AC,24.8467121,73.885195,0.04,25.7,91.0,59.0,Cooler,25.0,1.0
21,AC,25.69550105,75.77646715,0.33,26.25,90.0,58.0,No Change,57.0,3.0
22,NV,25.6596031,69.50813725,0.38,26.1,91.0,54.89796923,No Change,25.0,18.0
23,AC,24.69044305,69.27887,0.04,25.7,91.0,56.47476051,No Change,31.0,1.0
24,NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,49.0,16.0
25,NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Cooler,48.0,16.0
26,NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Cooler,15.0,17.0
27,AC,24.61347865,57.8233537,0.03,25.6,83.0,73.0,No Change,6.0,2.0
28,AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Warmer,46.0,4.0
29,AC,25.06077385,64.436025,0.49,25.3,89.0,61.7109739,Cooler,8.0,4.0
30,NV,28.10838415,67.471385,0.37,28.7,93.0,46.0,Cooler,45.0,19.0
31,AC,24.87101935,68.94964,0.2,26.0,83.0,73.0,Cooler,6.0,1.0
32,AC,24.4892044,69.46825215,0.1,25.5,89.0,64.0,Cooler,46.0,1.0
33,NV,29.44348435,74.049395,0.86,30.2,89.0,58.0,No Change,16.0,18.0
34,NV,27.6887398,79.48061254999999,1.09,28.6,91.0,61.0,No Change,31.0,16.0
35,AC,25.706242,67.161445,0.1,26.15,91.0,57.0,No Change,16.0,1.0
