Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
NV,28.8235407,75.06594000000001,0.09,29.65,90.0,57.0,Cooler,15.0,16.0
NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Cooler,39.0,16.0
AC,25.198411,67.88993500000001,0.12,26.65,89.0,60.0,No Change,11.0,2.0
NV,28.70465705,74.40958499999999,0.12,29.65,92.0,55.0,Cooler,55.0,16.0
NV,29.34126855,74.28265999999999,0.25,29.95,92.0,56.0,Cooler,34.0,19.0
AC,25.1756868,69.494475,0.15,26.3,89.0,61.0,Cooler,10.0,2.0
AC,25.35836505,68.70704,0.39,25.75,91.0,60.0,Warmer,48.0,4.0
NV,28.5421238,77.79976500000001,0.03,29.65,91.0,58.0,Cooler,35.0,17.0
NV,28.8006992,74.818985,0.13,29.6,94.0,55.0,Cooler,38.0,17.0
AC,25.6745028,71.833585,0.68,26.15,89.0,61.0,No Change,39.0,4.0
NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,No Change,27.0,19.0
AC,25.6319952,67.8723,0.12,26.3,90.0,60.0,No Change,38.0,4.0
AC,25.4633837,67.5986099,0.38,25.700000000000003,91.0,55.0,No Change,28.0,4.0
NV,27.28426425,77.54482999999999,0.08,28.1,90.0,57.89679308,Cooler,28.0,16.0
AC,24.90279865,68.55191805000001,0.16,26.4,89.0,62.0,Cooler,41.0,1.0
NV,29.51381805,76.483585,1.02,30.200000000000003,92.0,57.0,Cooler,38.0,18.0
NV,27.4584055,74.27718999999999,0.09,28.2,84.0,71.0,No Change,3.0,17.0
NV,27.46960355,76.7434977,0.31,28.45,88.0,60.0,No Change,54.0,19.0
AC,24.6073215,61.33249475,0.17,25.75,90.0,55.0,Warmer,52.0,1.0
AC,26.0074838,73.20605499999999,0.9,26.75,91.0,57.0,No Change,56.0,4.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,49.0,16.0
NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Cooler,54.0,17.0
NV,28.19567395,75.3918,0.08,29.0,90.0,59.0,Cooler,25.0,16.0
AC,26.47763395,67.844155,0.47,27.1,90.0,59.0,No Change,39.0,4.0
AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,No Change,38.0,3.0
AC,25.32947065,67.46198695000001,0.3,25.75,91.0,56.09573812,No Change,28.0,3.0
NV,28.0824013,73.87972500000001,0.78,28.85,90.0,56.0,Cooler,28.0,19.0
AC,25.964097950000003,79.176118,0.91,27.0,90.0,61.0,No Change,26.0,4.0
NV,28.899021150000003,77.11800005,0.05,29.700000000000003,90.0,62.0,Cooler,20.0,16.0
AC,25.6632469,76.27038,0.44,26.25,90.0,58.0,No Change,60.0,3.0
NV,28.70016365,68.11952,0.68,29.4,93.0,48.0,Cooler,48.0,17.0
AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,54.0,3.0
NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,19.0,19.0
NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,No Change,16.0,18.0
NV,28.0564146,78.3970871,0.17,28.95,91.0,57.0,Cooler,22.0,17.0
AC,24.81651195,66.7278222,0.1,26.3,90.0,61.0,Cooler,41.0,2.0
NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,No Change,4.0,18.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,51.0,16.0
AC,25.5679827,65.013785,0.45,26.4,89.0,58.0,No Change,50.0,3.0
NV,29.531861300000003,76.4222574,0.27,30.25,92.0,57.0,Cooler,39.0,18.0
NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Cooler,51.0,17.0
NV,29.401518000000003,73.42459,0.04,30.3,92.0,55.0,Cooler,59.0,16.0
AC,25.68664,65.914108,0.35,26.15,89.0,53.0,No Change,53.0,3.0
NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,No Change,49.0,17.0
AC,24.6634434,69.0450629,0.11,25.7,91.0,56.0,No Change,32.0,1.0
NV,28.86610715,75.04375289999999,0.3,29.85,90.0,59.0,Cooler,15.0,17.0
NV,28.34517655,72.80569460000001,0.23,29.1,94.0,56.0,No Change,37.0,17.0
AC,25.2723955,67.95559499999999,0.2,26.3,90.0,59.39999654,Cooler,40.0,3.0
AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,No Change,51.0,3.0
NV,26.7251539,74.8342,0.77,27.65,90.0,63.0,Warmer,32.0,18.0
AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Warmer,46.0,4.0
AC,24.8630124,66.83332275000001,0.14,26.3,90.0,61.0,Cooler,38.0,2.0
AC,25.06855485,71.67338215000001,0.11,26.3,92.0,56.0,No Change,32.0,1.0
AC,25.198411,67.88993500000001,0.12,26.65,89.0,60.0,Cooler,8.0,2.0
NV,27.6999254,77.22011499999999,0.05,28.6,90.0,58.0,Cooler,27.0,16.0
AC,25.51420405,75.206395,0.17,26.05,89.0,59.0,Cooler,38.0,3.0
AC,24.4892044,69.46825215,0.1,25.5,89.0,64.0,No Change,48.0,1.0
NV,27.65568925,80.4292079,0.44,28.75,88.0,63.70919532,No Change,12.0,18.0
NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Cooler,37.0,16.0
AC,24.831316,72.60397735,0.17,25.950000000000003,92.0,56.0,No Change,26.0,2.0
NV,28.3556118,66.87423795000001,0.2,29.0,94.0,46.0,Cooler,48.0,19.0
AC,25.5452836,57.64316,0.11,26.4,91.0,56.0,No Change,18.0,2.0
AC,25.5681306,74.880505,0.18,26.3,90.0,59.0,No Change,59.0,3.0
AC,25.53432465,66.39678,1.02,26.15,89.0,57.0,No Change,53.0,4.0
AC,25.40398025,60.1743946,0.04,26.0,91.0,56.0,No Change,18.0,2.0
NV,29.3690672,74.16417,0.4,30.0,92.0,55.45385725,Cooler,35.0,19.0
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,No Change,49.0,2.0
AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,No Change,27.0,3.0
NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,No Change,2.0,19.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,No Change,50.0,16.0
NV,29.1148081,74.52970235000001,0.46,30.05,90.83813265,59.0,Cooler,15.0,17.0
AC,27.2626438,82.0086,0.22,28.25,88.0,63.0,No Change,10.0,4.0
AC,24.893710650000003,74.170166,0.04,25.7,91.0,59.0,Cooler,30.0,1.0
NV,27.108918950000003,74.65289,0.03,27.9,82.0,74.0,Cooler,3.0,16.0
AC,25.0099273,60.2925516,0.84,25.5,88.0,62.0,No Change,9.0,4.0
AC,23.89018825,65.62138999999999,0.06,25.25,90.0,62.0,No Change,38.0,2.0
AC,25.2070389,67.25805,0.56,25.65,83.0,73.0,Cooler,5.0,4.0
NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,Cooler,22.0,19.0
AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,No Change,1.0,4.0
AC,24.94427,68.71313,0.06,25.85,89.0,61.0,Cooler,9.0,1.0
AC,25.55142875,75.20024000000001,0.05,26.45,90.0,62.0,No Change,60.0,2.0
AC,25.4045832,75.05785499999999,0.12,26.5,89.60338924,61.0,Cooler,38.0,2.0
