Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
NV,28.86610715,75.04375289999999,0.3,29.85,90.0,59.0,Cooler,15.0,17.0
AC,29.26936685,75.98696000000001,0.42,30.1,91.0,58.0,No Change,15.0,4.0
NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Cooler,39.0,16.0
AC,26.47763395,67.844155,0.47,27.1,90.0,59.0,No Change,39.0,4.0
AC,27.36964795,81.37462500000001,0.38,28.35,88.0,63.0,No Change,11.0,4.0
NV,27.24390985,80.3270028,0.74,28.3,88.0,62.0,No Change,11.0,19.0
NV,27.5495987,71.271965,0.38,28.45,92.0,55.0,No Change,55.0,19.0
AC,25.7595011,74.50539805,0.33,26.3,90.0,59.9479563,No Change,55.0,3.0
NV,27.53707505,78.5155,0.47,28.4,90.0,61.0,No Change,34.0,18.0
AC,26.6239548,74.85732,0.26,27.15,93.0,54.45409424,No Change,34.0,3.0
AC,27.2626438,82.0086,0.22,28.25,88.0,63.0,No Change,10.0,4.0
NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Cooler,10.0,16.0
AC,25.33995055,69.89223785,1.02,25.75,91.0,60.0,Warmer,48.0,4.0
NV,27.832695,68.15968000000001,0.06,28.200000000000003,93.0,47.0,Cooler,48.0,16.0
NV,27.71040535,79.386945,1.23,28.65,91.0,61.0,No Change,35.0,16.0
AC,25.30559445,75.1471522,0.49,25.85,94.0,52.0,Warmer,35.0,4.0
NV,27.43472765,67.19831464999999,0.24,27.8,94.0,56.0,Cooler,38.0,17.0
AC,25.50149345,73.650155,0.15,25.950000000000003,88.61356048,60.0,No Change,38.0,3.0
NV,27.6999254,77.22011499999999,0.05,28.6,90.0,58.0,Cooler,27.0,16.0
AC,25.24030155,67.368,0.56,25.65,91.0,54.0,No Change,27.0,4.0
AC,25.21854405,67.45137245000001,0.19,25.55,91.0,54.0,No Change,28.0,4.0
NV,27.28426425,77.54482999999999,0.08,28.1,90.0,57.89679308,Cooler,28.0,16.0
AC,25.3408642,73.3027723,0.14,26.6,89.0,61.0,Cooler,41.0,2.0
NV,29.1541548,75.44713999999999,0.97,30.05,91.0,58.0,Cooler,41.0,19.0
NV,27.54382515,75.882295,0.44,28.4,86.40827744,67.0,No Change,3.0,17.0
AC,25.692997,72.00558000000001,0.12,26.6,83.0,73.0,Warmer,3.0,2.0
NV,26.43474005,73.87907725,0.03,27.35,86.0,63.0,Cooler,54.0,16.0
AC,25.7988139,63.931682,0.07,26.85,89.0,57.0,Cooler,54.0,2.0
AC,25.6025772,66.32347,0.26,26.35,89.0,58.0,No Change,52.0,3.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,52.0,16.0
AC,24.69094945,64.04914875,0.03,25.700000000000003,92.0,54.03383261,Cooler,56.0,1.0
NV,27.5097694,71.02812499999999,1.15,28.35,92.0,55.0,No Change,56.0,19.0
NV,27.72413065,75.60469434999999,0.11,28.65,88.83321587,58.0,No Change,49.0,17.0
AC,25.2201032,61.53530775,0.18,25.8,89.0,57.0,No Change,49.0,4.0
NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,No Change,25.0,19.0
AC,25.0596764,67.46126705,0.11,25.75,90.09168622,60.09168622,No Change,25.0,1.0
AC,25.25968695,65.64346795,0.03,26.0,90.0,61.07691803,No Change,26.0,2.0
NV,28.1936712,74.08189,0.49,28.85,90.0,57.0,No Change,26.0,19.0
NV,28.21619415,79.23662235,1.0,29.15,91.0,59.0,No Change,20.0,19.0
AC,24.52256165,66.73265075,0.09,25.1,87.0,64.0,No Change,20.0,2.0
AC,25.75917055,75.22926000000001,0.25,26.6,90.0,61.05437018,No Change,60.0,2.0
NV,29.401518000000003,73.42459,0.04,30.3,92.0,55.0,Cooler,60.0,16.0
NV,28.2101202,78.130925,0.37,29.15,91.0,58.0,Cooler,19.0,17.0
AC,24.68672655,64.7097428,0.03,25.5,87.0,64.0,Cooler,19.0,2.0
NV,28.799171450000003,76.13997735,1.62,29.65,91.0,59.0,No Change,16.0,19.0
AC,25.7184444,61.3057957,0.09,25.95,91.0,56.0,No Change,16.0,2.0
NV,27.6302084,79.62815,0.25,28.75,91.0,58.95440393,Cooler,22.0,17.0
AC,24.6267538,64.140635,0.36,25.25,90.0,62.0,No Change,22.0,4.0
NV,27.76193445,78.514075,0.25,28.7,87.0,65.0,No Change,4.0,18.0
AC,24.7260895,62.652446,0.06,25.4,83.0,73.0,Cooler,4.0,2.0
NV,25.57442,73.11616000000001,0.12,26.45,87.0,63.0,Cooler,51.0,16.0
