,Mode,Indoor Temp,Indoor Humidity,Air Velocity,Globe Temperature,Outdoor Temp,Outdoor Humidity,Thermal Preference,User Id,Condition
0,NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,No Change,26.0,19.0
1,AC,25.173296,70.359755,0.04,26.3,83.0,73.0,Cooler,5.0,1.0
2,NV,27.3176635,77.61981779999999,0.05,28.2,90.0,58.0,Cooler,29.0,16.0
3,NV,27.07351905,79.363115,0.36,28.1,88.0,62.0,No Change,11.0,19.0
4,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,No Change,36.0,18.0
5,NV,27.14934825,75.17565,0.48,28.05,87.0,62.0,No Change,49.0,18.0
6,AC,24.7260895,62.652446,0.06,25.4,83.0,73.0,Cooler,4.0,2.0
7,AC,25.28062725,69.71822789999999,0.19,26.3,89.0,61.0,Cooler,7.0,1.0
8,AC,26.1032356,70.59358,0.6,26.35,90.0,55.0,No Change,18.0,4.0
9,NV,27.5859369,76.22223275,0.58,28.55,88.82535889,59.0,No Change,51.0,19.0
10,AC,25.24077895,71.06231,0.07,26.4,83.0,73.0,No Change,2.0,1.0
11,NV,29.8566381,75.98838275,0.14,30.45,93.0,56.0,Cooler,37.0,16.0
12,AC,25.5301969,66.84052,0.3,25.9,91.0,61.0,Warmer,46.0,3.0
13,AC,24.010643,64.5948023,0.13,24.8,89.0,64.0,No Change,48.0,2.0
14,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,57.0,19.0
15,NV,28.22226865,79.94888,0.56,29.1,91.0,60.0,No Change,23.0,19.0
16,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,Cooler,15.0,18.0
17,AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,Cooler,49.0,2.0
18,NV,29.79211235,71.031425,0.8,30.45,92.0,54.0,Cooler,59.0,18.0
19,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,No Change,4.0,18.0
20,AC,24.01170645,65.390785,0.05,25.15,87.0,66.0,No Change,24.0,2.0
21,NV,28.33899975,78.517155,0.05,29.3,91.0,58.0,Cooler,34.0,17.0
22,NV,27.90806575,73.04190775000001,0.63,29.0,92.0,54.0,Cooler,60.0,19.0
23,AC,25.0995734,66.1507477,0.67,25.700000000000003,90.0,61.0,No Change,25.0,4.0
24,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Cooler,3.0,16.0
25,AC,24.6634434,69.0450629,0.11,25.7,91.0,56.0,No Change,32.0,1.0
26,AC,25.4722252,69.419885,0.55,26.15,87.0,65.0,No Change,22.0,4.0
27,NV,27.5154085,78.17699775,0.94,28.3,90.0,61.44420015,Warmer,33.0,18.0
28,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,No Change,50.0,2.0
29,NV,29.4187776,73.93766,0.37,30.2,91.0,58.0,Cooler,14.0,17.0
30,AC,24.7888558,66.630715,0.05,25.6,94.0,54.0,No Change,36.0,3.0
31,NV,28.07866765,73.87162755,1.03,28.85,90.0,56.0,No Change,25.0,19.0
32,AC,24.69094945,64.04914875,0.03,25.700000000000003,92.0,54.03383261,Cooler,56.0,1.0
33,AC,25.29862215,68.56858,0.46,25.950000000000003,88.0,63.0,Warmer,20.0,4.0
34,NV,27.6999254,77.22011499999999,0.05,28.6,90.0,58.0,Cooler,30.0,16.0
35,AC,25.6406717,67.26145555,0.34,26.0,90.0,63.0,No Change,47.0,3.0
36,NV,27.4256592,76.77550274999999,1.01,28.35,88.0,62.0,Cooler,52.0,19.0
37,NV,29.3690672,74.16417,0.4,30.0,92.0,55.45385725,Cooler,35.0,19.0
38,AC,25.692997,72.00558000000001,0.12,26.6,83.0,73.0,Warmer,3.0,2.0
39,AC,25.4624636,64.32089210000001,0.79,26.3,89.0,58.0,No Change,51.0,4.0
40,AC,24.845932,71.195115,0.08,26.45,89.0,60.0,Cooler,8.0,2.0
41,AC,25.6716576,70.307565,0.16,26.95,89.0,54.14322106,Cooler,53.0,2.0
42,AC,24.10182595,65.3353073,0.11,25.5,90.0,63.0,Cooler,40.0,1.0
43,AC,25.3866665,67.38667774999999,0.1,25.8,91.0,56.19074627,No Change,29.0,3.0
44,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,No Change,16.0,18.0
45,NV,29.3854444,74.40034485000001,0.84,30.15,91.0,58.0,Cooler,17.0,18.0
46,AC,26.01383785,75.09908,1.04,26.35,87.94166808,64.0,No Change,57.0,4.0
47,NV,28.63204125,66.743405,0.83,29.35,93.72225186,47.0,Cooler,46.0,18.0
48,AC,25.18851875,67.75354775,0.17,26.15,90.0,60.0,No Change,41.0,3.0
49,AC,25.53478625,66.65420225,0.05,26.6,88.14702575,58.0,Cooler,52.0,2.0
50,NV,29.13755095,75.01255499999999,0.78,29.65,90.16488071,59.0,No Change,18.0,19.0
51,AC,25.51388645,74.94691465,0.18,26.0,88.61178068,59.38821932,Cooler,42.0,3.0
52,AC,25.964097950000003,79.176118,0.91,27.0,90.0,61.0,No Change,27.0,4.0
53,NV,25.76368235,66.97658229999999,0.04,26.6,82.0,76.0,No Change,1.0,16.0
54,NV,29.736228,71.6406024,0.21,30.4,92.0,54.0,Cooler,56.0,17.0
55,NV,28.83379805,74.898025,0.12,29.700000000000003,93.58029734,55.0,Cooler,40.0,17.0
56,NV,28.3198684,78.718805,0.09,29.3,90.95943823,59.0,Cooler,19.0,16.0
57,AC,24.893710650000003,74.170166,0.04,25.7,91.0,59.0,Cooler,30.0,1.0
58,AC,25.4722252,69.419885,0.55,26.15,87.0,65.0,Warmer,19.0,4.0
59,AC,25.4852362,72.59637000000001,0.6,26.05,89.0,52.0,Warmer,54.0,4.0
60,AC,24.37329,57.3987461,0.89,24.75,83.0,73.0,No Change,6.0,4.0
61,NV,29.736228,71.6406024,0.21,30.4,92.0,54.0,Cooler,58.0,17.0
62,AC,25.14501855,71.93512,0.66,25.75,94.0,53.0,No Change,34.0,4.0
63,NV,25.86277155,67.22079500000001,0.84,26.15,89.45417428,62.54582572,No Change,31.0,18.0
64,NV,29.81506415,70.893145,0.27,30.5,92.0,53.98572117,Cooler,55.0,17.0
65,AC,25.24077895,71.06231,0.07,26.4,83.0,73.0,Cooler,1.0,1.0
66,AC,29.26936685,75.98696000000001,0.42,30.1,91.0,58.0,No Change,15.0,4.0
67,NV,28.34041365,74.849875,0.07,29.2,91.0,58.0,No Change,28.0,17.0
68,NV,27.3575039,80.6216627,0.75,28.5,88.0,62.0,No Change,10.0,18.0
69,NV,26.3269892,76.14605789999999,0.38,27.35,89.0,61.0,No Change,22.0,18.0
70,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Cooler,20.0,16.0
71,AC,25.72225665,63.998686250000006,0.13,25.95,91.0,57.0,No Change,16.0,2.0
72,AC,25.78303335,82.74889,0.78,26.450000000000003,95.0,51.0,No Change,31.0,4.0
73,AC,24.8261671,70.32521215,0.11,25.55,93.0,54.0,No Change,33.0,2.0
74,NV,25.54950615,70.42307,0.03,25.950000000000003,93.0,52.0,Warmer,47.0,16.0
75,AC,25.6319952,67.8723,0.12,26.3,90.0,60.0,No Change,38.0,4.0
76,NV,28.3556118,66.87423795000001,0.2,29.0,94.0,46.0,Cooler,48.0,19.0
77,AC,25.40398025,60.1743946,0.04,26.0,91.0,56.0,Cooler,17.0,2.0
78,AC,25.52099035,67.15142700000001,0.25,25.9,90.69874187,61.0,No Change,43.0,3.0
79,NV,29.8205519,76.342365,0.11,30.5,93.0,56.0,Cooler,38.0,16.0
80,NV,27.752233500000003,80.19243205000001,0.27,28.700000000000003,87.0,67.0,Cooler,8.0,17.0
81,NV,26.64318375,77.81644,0.34,27.8,89.0,61.0,No Change,12.0,19.0
82,AC,25.5028107,73.72965500000001,0.54,26.0,89.0,60.0,No Change,37.0,3.0
83,NV,28.70016365,68.11952,0.68,29.4,93.0,48.0,Cooler,45.0,17.0
84,NV,27.81130785,78.54907765,0.65,28.75,88.0,66.0,No Change,2.0,18.0
85,NV,29.13082025,75.48105,1.33,30.0,91.0,58.0,Cooler,42.0,19.0
86,NV,27.3063831,75.91471695,0.57,28.2,87.0,61.0,No Change,53.0,18.0
87,AC,24.59179495,63.6278339,0.05,25.8,92.0,53.0,No Change,59.0,1.0
88,NV,27.9270697,78.45029,0.68,28.95,91.0,58.0,No Change,32.0,16.0
89,NV,29.0374832,75.75785,0.51,29.85,90.0,58.40393321,Cooler,39.0,19.0
90,NV,26.6446638,73.21355,0.02,27.5,82.0,76.0,Cooler,6.0,16.0
91,AC,25.17936745,67.80286000000001,0.58,25.75,90.0,62.0,No Change,26.0,4.0
92,NV,28.5028057,73.71183289999999,0.24,29.3,94.0,55.0,Cooler,41.0,17.0
93,NV,28.6000843,77.07266,0.04,29.6,91.0,59.0,Cooler,24.0,16.0
94,NV,27.8988188,73.252155,0.25,28.85,88.0,57.0,Cooler,54.0,17.0
95,AC,25.7595011,74.50539805,0.33,26.3,90.0,59.9479563,No Change,55.0,3.0
96,AC,25.32947065,67.46198695000001,0.3,25.75,91.0,56.09573812,No Change,28.0,3.0
97,AC,25.15946105,72.66568275,0.16,25.75,93.0,55.0,No Change,35.0,2.0
98,NV,28.21487115,80.53101,0.09,29.1,88.0,66.0,Cooler,9.0,16.0
99,NV,28.70394835,68.168415,0.25,29.4,93.0,48.0,No Change,43.0,17.0
100,NV,25.6596031,69.50813725,0.38,26.1,91.0,54.89796923,No Change,27.0,18.0
101,NV,27.6431484,76.4995576,1.1,28.5,87.0,67.0,Cooler,5.0,19.0
102,AC,25.1428541,68.0492024,0.39,26.05,89.0,61.28816928,No Change,10.0,4.0
103,AC,25.42998695,59.0868149,0.05,26.1,91.0,55.0,No Change,14.0,2.0
104,AC,24.94346715,68.3360921,0.04,25.9,89.0,61.0,No Change,12.0,1.0
105,NV,27.6698885,80.306255,0.83,28.75,88.0,63.28844468,Cooler,7.0,18.0
106,NV,27.413105,76.757495,1.35,28.35,88.0,61.17269679,No Change,50.0,19.0
107,AC,25.6745028,71.833585,0.68,26.15,89.0,61.0,No Change,39.0,4.0
108,AC,25.4721317,69.6084829,0.71,25.9,87.0,64.05265162,No Change,23.0,4.0
109,AC,24.845932,71.195115,0.08,26.45,89.0,60.0,No Change,11.0,2.0
110,AC,25.23486425,69.1292,0.03,25.9,89.0,63.0,Cooler,45.0,2.0
111,AC,25.83666515,69.80744999999999,0.59,26.55,88.0,63.0,Cooler,9.0,4.0
112,AC,25.6545267,77.72161,0.48,26.15,89.0,63.0,No Change,58.0,4.0
113,AC,25.850986,77.13069229999999,1.02,26.35,89.0,63.94191481,No Change,60.0,4.0
