item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Probe S/N ,4101132,4101132,4101132,4101138,4101138,4101138,4101134,4101134,4101134,4101137,4101137,4101137,4101135,4101135,4101135,4101136,4101136,4101136,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000,0000000
Probe No. ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,0975-31  ,,,,,,,,,,,,,,,,,,
Measurement object ,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,V T H,,,,,,,,,,,,,,,,,,
Latest calibration date ,2023/04/17,2023/04/17,2023/04/17,2023/04/18,2023/04/18,2023/04/18,2023/04/17,2023/04/17,2023/04/17,2023/04/18,2023/04/18,2023/04/18,2023/04/18,2023/04/18,2023/04/18,2023/04/20,2023/04/20,2023/04/20,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01,2000/01/01
Connection Status ,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT,NONE_CONNECT
Data header Date&Time ,HUB01-01CH-V,HUB01-01CH-T,HUB01-01CH-H,HUB01-02CH-V,HUB01-02CH-T,HUB01-02CH-H,HUB01-03CH-V,HUB01-03CH-T,HUB01-03CH-H,HUB01-04CH-V,HUB01-04CH-T,HUB01-04CH-H,HUB01-05CH-V,HUB01-05CH-T,HUB01-05CH-H,HUB01-06CH-V,HUB01-06CH-T,HUB01-06CH-H,HUB01-07CH-V,HUB01-07CH-T,HUB01-07CH-H,HUB01-08CH-V,HUB01-08CH-T,HUB01-08CH-H,HUB01-09CH-V,HUB01-09CH-T,HUB01-09CH-H,HUB01-10CH-V,HUB01-10CH-T,HUB01-10CH-H,HUB01-11CH-V,HUB01-11CH-T,HUB01-11CH-H,HUB01-12CH-V,HUB01-12CH-T,HUB01-12CH-H
Data 1-0.00:00:06.0 ,0.53,26.90,67.90,0.31,26.70,69.40,0.80,26.80,69.10,0.34,26.70,70.90,0.51,26.70,68.70,0.54,26.70,69.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2-0.00:00:12.0 ,0.62,26.80,67.90,0.24,26.60,69.30,0.93,26.70,69.00,0.49,26.80,70.90,0.85,26.60,68.60,0.33,26.60,69.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 3-0.00:00:18.0 ,0.39,26.80,67.80,0.30,26.60,69.20,0.76,27.00,68.90,0.45,26.80,70.90,0.69,26.60,68.50,0.25,26.70,69.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 4-0.00:00:24.0 ,0.57,26.80,67.70,0.27,26.70,69.20,1.35,26.80,68.60,0.38,26.70,70.80,0.45,26.70,68.40,0.49,26.80,69.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
