Line#,Date,"Solar Radiation (S-LIB 21661173:21515235-1), W/m^2, ideaslab","Temperature (S-THC 21661173:21555952-1), *C, ideaslab","RH (S-THC 21661173:21555952-2), %, ideaslab","Dew Point (S-THC 21661173:21555952-3), *C, ideaslab","Wind Speed (S-WCG 21661173:21556122-1), m/s, ideaslab","Gust Speed (S-WCG 21661173:21556122-2), m/s, ideaslab","Wind Direction (S-WCG 21661173:21556122-3), *, ideaslab","Rain (S-RGB 21661173:21560962-1), mm, ideaslab","Solar Radiation (S-LIB 21535782:21515235-1), W/m^2, ideaslab(Aug23)","Temperature (S-THC 21535782:21555952-1), *C, ideaslab(Aug23)","RH (S-THC 21535782:21555952-2), %, ideaslab(Aug23)","Dew Point (S-THC 21535782:21555952-3), *C, ideaslab(Aug23)","Wind Speed (S-WCG 21535782:21556122-1), m/s, ideaslab(Aug23)","Gust Speed (S-WCG 21535782:21556122-2), m/s, ideaslab(Aug23)","Wind Direction (S-WCG 21535782:21556122-3), *, ideaslab(Aug23)","Rain (S-RGB 21535782:21560962-1), mm, ideaslab(Aug23)","Temperature (S-THC 21535782:21654097-1), *C, ideaslab(test)","RH (S-THC 21535782:21654097-2), %, ideaslab(test)","Dew Point (S-THC 21535782:21654097-3), *C, ideaslab(test)","Dew Point (S-THC 21661173:21397574-3), *C, ideaslab","Temperature (S-THC 21661173:21397574-1), *C, ideaslab","RH (S-THC 21661173:21397574-2), %, ideaslab"
1,07/10/23 08:35:00,474,31.177,63.210,23.377,1.3,3.0,187,0.0,,,,,,,,,,,,,,
2,07/10/23 08:40:00,456,31.328,62.113,23.228,1.0,2.7,176,0.0,,,,,,,,,,,,,,
3,07/10/23 08:45:00,443,31.842,61.947,23.668,1.0,1.7,184,0.0,,,,,,,,,,,,,,
4,07/10/23 08:50:00,433,31.671,62.524,23.661,1.0,2.3,173,0.0,,,,,,,,,,,,,,
5,07/10/23 08:55:00,421,31.971,61.883,23.772,0.7,2.7,225,0.0,,,,,,,,,,,,,,
6,07/10/23 09:00:00,408,32.357,60.941,23.880,0.7,1.3,208,0.0,,,,,,,,,,,,,,
7,07/10/23 09:05:00,396,32.057,61.952,23.871,1.0,2.3,208,0.0,,,,,,,,,,,,,,
8,07/10/23 09:10:00,376,31.306,63.821,23.658,1.3,3.0,203,0.0,,,,,,,,,,,,,,
9,07/10/23 09:15:00,359,30.963,65.940,23.877,1.3,3.0,217,0.0,,,,,,,,,,,,,,
10,07/10/23 09:20:00,348,31.542,63.935,23.911,1.0,2.0,201,0.0,,,,,,,,,,,,,,
11,07/10/23 09:25:00,334,31.263,64.208,23.719,1.0,3.0,244,0.0,,,,,,,,,,,,,,
12,07/10/23 09:30:00,319,31.070,65.248,23.803,1.0,3.0,225,0.0,,,,,,,,,,,,,,
13,07/10/23 09:35:00,311,31.113,64.707,23.705,1.3,2.7,224,0.0,,,,,,,,,,,,,,
14,07/10/23 09:40:00,288,31.392,64.581,23.937,1.0,2.3,200,0.0,,,,,,,,,,,,,,
15,07/10/23 09:45:00,263,31.220,65.061,23.898,1.3,2.7,175,0.0,,,,,,,,,,,,,,
16,07/10/23 09:50:00,244,30.899,66.658,23.997,1.7,3.0,176,0.0,,,,,,,,,,,,,,
17,07/10/23 09:55:00,229,30.942,66.586,24.020,1.3,3.3,206,0.0,,,,,,,,,,,,,,
18,07/10/23 10:00:00,209,31.006,66.091,23.956,1.3,3.0,186,0.0,,,,,,,,,,,,,,
19,07/10/23 10:05:00,191,30.663,67.034,23.866,1.3,3.0,200,0.0,,,,,,,,,,,,,,
20,07/10/23 10:10:00,148,30.577,66.737,23.711,1.3,2.7,197,0.0,,,,,,,,,,,,,,
21,07/10/23 10:15:00,53,30.105,68.078,23.593,1.3,2.7,210,0.0,,,,,,,,,,,,,,
22,07/10/23 10:20:00,44,29.848,68.811,23.525,1.3,2.7,199,0.0,,,,,,,,,,,,,,
23,07/10/23 10:25:00,46,29.783,69.397,23.605,1.0,2.3,196,0.0,,,,,,,,,,,,,,
24,07/10/23 10:30:00,69,29.869,69.232,23.647,1.0,2.3,190,0.0,,,,,,,,,,,,,,
25,07/10/23 10:35:00,44,29.955,69.116,23.701,0.7,1.7,184,0.0,,,,,,,,,,,,,,
26,07/10/23 10:40:00,68,29.998,69.551,23.847,0.7,1.7,201,0.0,,,,,,,,,,,,,,
27,07/10/23 10:45:00,53,29.740,70.120,23.736,1.3,3.0,227,0.0,,,,,,,,,,,,,,
28,07/10/23 10:50:00,31,29.440,70.837,23.618,1.7,3.0,210,0.0,,,,,,,,,,,,,,
29,07/10/23 10:55:00,17,29.226,71.608,23.592,1.7,3.0,213,0.0,,,,,,,,,,,,,,
30,07/10/23 11:00:00,13,29.118,72.093,23.602,1.3,3.0,206,0.0,,,,,,,,,,,,,,
31,07/10/23 11:05:00,9,29.011,72.235,23.531,2.0,3.3,220,0.0,,,,,,,,,,,,,,
32,07/10/23 11:10:00,7,29.011,72.683,23.634,1.0,2.3,203,0.0,,,,,,,,,,,,,,
33,07/10/23 11:15:00,4,28.968,72.779,23.615,1.0,2.0,211,0.0,,,,,,,,,,,,,,
34,07/10/23 11:20:00,3,28.840,73.004,23.543,1.3,3.0,221,0.0,,,,,,,,,,,,,,
35,07/10/23 11:25:00,1,28.711,72.766,23.365,1.7,3.3,217,0.0,,,,,,,,,,,,,,
36,07/10/23 11:30:00,1,28.604,73.858,23.509,1.7,3.0,213,0.0,,,,,,,,,,,,,,
37,07/10/23 11:35:00,1,28.604,74.478,23.648,1.7,3.0,215,0.0,,,,,,,,,,,,,,
38,07/10/23 11:40:00,1,28.518,74.995,23.680,1.3,3.0,211,0.0,,,,,,,,,,,,,,
39,07/10/23 11:45:00,1,28.454,75.196,23.663,1.3,3.0,218,0.0,,,,,,,,,,,,,,
40,07/10/23 11:50:00,1,28.411,75.636,23.718,1.3,2.3,206,0.0,,,,,,,,,,,,,,
41,07/10/23 11:55:00,1,28.411,76.130,23.827,1.3,2.0,220,0.0,,,,,,,,,,,,,,
42,07/10/23 12:00:00,1,28.432,76.378,23.902,1.0,2.3,213,0.0,,,,,,,,,,,,,,
43,07/10/23 12:05:00,1,28.432,76.483,23.925,1.0,2.0,213,0.0,,,,,,,,,,,,,,
44,07/10/23 12:10:00,1,28.368,76.777,23.926,1.0,2.0,215,0.0,,,,,,,,,,,,,,
45,07/10/23 12:15:00,1,28.432,76.817,23.997,0.3,1.0,166,0.0,,,,,,,,,,,,,,
46,07/10/23 12:20:00,1,28.389,76.693,23.929,0.7,1.3,201,0.0,,,,,,,,,,,,,,
47,07/10/23 12:25:00,1,28.346,77.102,23.976,0.3,1.3,258,0.0,,,,,,,,,,,,,,
